,% Votes obtained - Votes obtenus %,Appartenance politique,Electoral district name,Electoral district number - Numéro de la circonscription,Given name - Prénom,Middle name(s) - Autre(s) prénom(s),Nom de la circonscription,Political affiliation,Province,Rejected ballots - Bulletins rejetés***,Surname - Nom de famille,Total number of ballots cast - Nombre total de votes déposés,Type de résultats**,Type of results*,Votes obtained - Votes obtenus
0,46.6,Conservateur,Simcoe--Grey,35099,Kellie,,Simcoe--Grey,Conservative,Ontario,225,Leitch,65972,validés,validated,30612
1,4.4,Parti Vert,Simcoe--Grey,35099,JoAnne,,Simcoe--Grey,Green Party,Ontario,225,Fleming,65972,validés,validated,2923
2,38.6,Libéral,Simcoe--Grey,35099,Mike,,Simcoe--Grey,Liberal,Ontario,225,MacEachern,65972,validés,validated,25352
3,.8,Parti de l'Héritage Chrétien,Simcoe--Grey,35099,Len,,Simcoe--Grey,Christian Heritage Party,Ontario,225,Noordegraaf,65972,validés,validated,528
4,9.6,NPD-Nouveau Parti démocratique,Simcoe--Grey,35099,David,,Simcoe--Grey,NDP-New Democratic Party,Ontario,225,Matthews,65972,validés,validated,6332
5,46,Libéral,Burlington,35015,Karina,,Burlington,Liberal,Ontario,263,Gould,70363,validés,validated,32229
6,2.4,Parti Vert,Burlington,35015,Vince,,Burlington,Green Party,Ontario,263,Fiorito,70363,validés,validated,1710
7,9.1,NPD-Nouveau Parti démocratique,Burlington,35015,David,,Burlington,NDP-New Democratic Party,Ontario,263,Laird,70363,validés,validated,6381
8,42.5,Conservateur,Burlington,35015,Mike,,Burlington,Conservative,Ontario,263,Wallace,70363,validés,validated,29780
9,.3,Marxiste-Léniniste,Mount Royal,24052,Diane,,Mont-Royal,Marxist-Leninist,Quebec,425,Johnston,48476,validés,validated,124
10,50.3,Libéral,Mount Royal,24052,Anthony,,Mont-Royal,Liberal,Quebec,425,Housefather,48476,validés,validated,24187
11,1.9,Bloc Québécois,Mount Royal,24052,Jade,,Mont-Royal,Bloc Québécois,Quebec,425,Bossé Bélanger,48476,validés,validated,908
12,1.6,Parti Vert,Mount Royal,24052,Timothy,,Mont-Royal,Green Party,Quebec,425,Landry,48476,validés,validated,747
13,8.1,NPD-Nouveau Parti démocratique,Mount Royal,24052,Mario Jacinto,,Mont-Royal,NDP-New Democratic Party,Quebec,425,Rimbao,48476,validés,validated,3884
14,37.9,Conservateur,Mount Royal,24052,Robert,,Mont-Royal,Conservative,Quebec,425,Libman,48476,validés,validated,18201
15,28.7,Bloc Québécois,Laurier--Sainte-Marie,24039,Gilles,,Laurier--Sainte-Marie,Bloc Québécois,Quebec,594,Duceppe,55275,validés,validated,15699
16,.2,Communiste,Laurier--Sainte-Marie,24039,Pierre,,Laurier--Sainte-Marie,Communist,Quebec,594,Fontaine,55275,validés,validated,102
17,.3,Indépendant,Laurier--Sainte-Marie,24039,Julien,,Laurier--Sainte-Marie,Independent,Quebec,594,Bernatchez,55275,validés,validated,160
